"Through a combination of regularly scheduled technical systems audits of non-EPA laboratories processing state PM2.5 monitoring data and additional assessments of data quality, EPA has identified data quality issues that affect Florida, Illinois, most of Tennessee and parts of Kentucky. EPA has made a preliminary determination that this data should not be used for regulatory purposes. Until a final determination has been made, EPA has moved the data in the Air Quality System database for the PM2.5 sites in question from parameter code 88101 (PM2.5 at local conditions; used for regulatory data) to parameter code 88501 (PM2.5 raw data). This change will clarify to data users that data from these sites should not be compared to the PM2.5 National Ambient Air Quality Standards until EPA has made a final validity determination. This data is not included in the PM2.5 trends assessment or this summary table.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Air Quality Trends by City 2000-2020,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  The values shown are the composite averages among the trend sites in each area.  Data from exceptional events are included.  These trends are based on sites having an adequate record of monitoring data during the trend period.  Based on data from AQS as of May 5, 2021.  ",,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
10100,"Aberdeen, SD",PM10,2nd Max,1,50.0,58.0,59.0,66.0,39.0,48.0,51.0,49.0,69.0,53.0,46.0,29.0,62.0,66.0,36.0,43.0,65.0,40.0,49.0,35.0,35.0
10100,,PM2.5,Weighted Annual Mean,1,8.6,8.6,7.9,8.4,8.1,9.0,8.2,8.0,7.7,8.1,8.7,7.1,7.5,7.3,6.2,6.2,5.4,5.9,6.7,5.9,5.9
10100,,PM2.5,98th Percentile,1,23.0,23.0,20.0,21.0,23.0,23.0,21.0,17.0,28.0,23.0,27.0,18.0,23.0,22.0,17.0,14.0,14.0,13.0,22.0,18.0,18.0
10300,"Adrian, MI",O3,4th Max,1,0.08200000000000002,0.08599999999999998,0.08899999999999998,0.08799999999999998,0.074,0.08200000000000002,0.074,0.08100000000000002,0.072,0.067,0.066,0.076,0.087,0.064,0.068,0.065,0.069,0.066,0.071,0.05899999999999998,0.067
10420,"Akron, OH",CO,2nd Max,1,2.4,2.7,1.8,1.9,2.1,1.6,1.4,1.4,1.3,1.8,1.4,1.0,1.1,0.8,0.8,1.0,1.1,0.9,1.8,1.8,1.8
10420,,O3,4th Max,2,0.085,0.096,0.1,0.09,0.079,0.091,0.074,0.087,0.075,0.067,0.074,0.073,0.072,0.05899999999999998,0.06,0.065,0.06,0.066,0.068,0.062,0.063
10420,,PM2.5,Weighted Annual Mean,3,16.2,16.2,16.0,14.1,13.8,15.7,12.8,14.1,12.9,11.7,12.4,11.1,10.0,9.7,9.9,10.4,8.2,7.9,7.9,8.2,8.0
10420,,PM2.5,98th Percentile,3,37.0,44.0,40.0,34.0,35.0,43.0,31.0,31.0,33.0,26.0,32.0,25.0,19.0,24.0,22.0,23.0,17.0,18.0,18.0,21.0,21.0
10420,,SO2,99th Percentile,1,163.0,132.0,145.0,167.0,172.0,140.0,138.0,46.0,34.0,31.0,27.0,24.0,22.0,23.0,21.0,14.0,8.0,3.0,6.0,3.0,4.0
10500,"Albany, GA",PM2.5,Weighted Annual Mean,1,16.6,14.6,13.8,13.4,14.1,14.6,14.9,15.0,12.8,11.8,12.3,12.1,10.6,10.0,10.3,9.0,8.7,9.4,8.4,9.3,9.1
10500,,PM2.5,98th Percentile,1,38.0,36.0,31.0,27.0,36.0,35.0,35.0,43.0,32.0,32.0,30.0,29.0,25.0,26.0,23.0,21.0,20.0,25.0,24.0,26.0,24.0
10580,"Albany-Schenectady-Troy, NY",CO,2nd Max,1,1.1,1.2,1.5,1.5,1.1,1.4,1.0,0.9,0.9,0.8,0.9,0.9,0.7,0.8,0.7,0.8,0.8,0.8,0.8,0.6,0.6
10580,,O3,4th Max,2,0.07000000000000002,0.08899999999999998,0.091,0.08100000000000002,0.075,0.08200000000000002,0.07000000000000002,0.078,0.078,0.066,0.072,0.066,0.071,0.063,0.061,0.062,0.068,0.061,0.066,0.055,0.054
10580,,PM2.5,Weighted Annual Mean,1,12.4,12.3,12.1,11.9,11.0,12.6,9.3,10.1,9.5,8.3,7.9,8.8,7.6,7.1,7.2,7.8,6.3,6.9,7.5,7.0,7.8
10580,,PM2.5,98th Percentile,1,30.0,31.0,33.0,34.0,32.0,36.0,31.0,31.0,26.0,23.0,24.0,24.0,18.0,20.0,19.0,20.0,18.0,15.0,19.0,18.0,23.0
10580,,SO2,99th Percentile,1,56.0,67.0,34.0,42.0,39.0,25.0,21.0,20.0,22.0,18.0,14.0,15.0,9.0,9.0,8.0,7.0,4.0,4.0,2.0,3.0,2.0
10740,"Albuquerque, NM",CO,2nd Max,1,3.3,2.9,2.8,2.1,2.2,2.0,2.0,1.6,1.2,1.1,1.1,1.3,1.6,0.9,1.2,1.4,1.2,1.0,1.0,1.0,0.9
10740,,NO2,Annual Mean,1,17.0,17.0,19.0,18.0,17.0,16.0,15.0,15.0,13.0,12.0,12.0,13.0,14.0,12.0,12.0,11.0,10.0,10.0,10.0,9.0,8.0
10740,,NO2,98th Percentile,1,54.0,54.0,57.0,55.0,52.0,51.0,53.0,64.0,65.0,48.0,53.0,50.0,49.0,45.0,42.0,43.0,44.0,45.0,45.0,44.0,41.0
10740,,O3,4th Max,3,0.072,0.071,0.074,0.076,0.071,0.073,0.071,0.069,0.064,0.063,0.066,0.069,0.07000000000000002,0.067,0.062,0.066,0.065,0.069,0.074,0.067,0.071
10740,,PM10,2nd Max,3,99.3,91.0,110.7,152.7,111.0,124.7,158.7,102.7,99.3,84.3,82.7,124.3,144.3,103.3,127.0,68.7,136.3,80.3,114.3,81.3,156.7
10740,,PM2.5,Weighted Annual Mean,1,6.6,6.4,6.3,6.9,6.8,7.0,7.6,6.7,5.9,5.5,5.3,6.9,7.4,5.7,6.4,6.6,5.4,5.6,5.1,6.0,6.3
10740,,PM2.5,98th Percentile,1,20.0,19.0,18.0,17.0,19.0,19.0,18.0,18.0,14.0,13.0,15.0,40.0,25.0,16.0,18.0,21.0,18.0,15.0,15.0,15.0,18.0
10900,"Allentown-Bethlehem-Easton, PA-NJ",NO2,Annual Mean,1,17.0,16.0,13.0,13.0,14.0,15.0,12.0,12.0,12.0,11.0,11.0,11.0,9.0,9.0,10.0,9.0,9.0,7.0,6.0,6.0,8.0
10900,,O3,4th Max,2,0.092,0.09399999999999999,0.095,0.087,0.08599999999999998,0.08599999999999998,0.079,0.08200000000000002,0.078,0.069,0.08100000000000002,0.078,0.074,0.067,0.068,0.07000000000000002,0.074,0.069,0.07000000000000002,0.065,0.062
10900,,PM10,2nd Max,1,78.0,78.0,90.0,49.0,45.0,54.0,52.0,45.0,45.0,40.0,39.0,42.0,33.0,42.0,34.0,39.0,31.0,29.0,40.0,31.0,34.0
10900,,PM2.5,Weighted Annual Mean,1,13.7,15.3,14.7,14.3,13.7,14.2,12.7,13.3,12.3,11.9,13.7,14.5,11.5,10.5,9.6,9.9,8.4,8.8,8.1,7.9,7.6
10900,,PM2.5,98th Percentile,1,37.0,43.0,46.0,37.0,35.0,36.0,38.0,38.0,33.0,30.0,33.0,35.0,28.0,32.0,25.0,26.0,21.0,25.0,23.0,24.0,25.0
11020,"Altoona, PA",O3,4th Max,1,0.08,0.083,0.08899999999999998,0.083,0.073,0.077,0.071,0.071,0.075,0.065,0.072,0.074,0.08,0.065,0.06,0.069,0.062,0.063,0.064,0.064,0.063
11020,,PM10,2nd Max,1,50.0,76.0,67.0,95.0,63.0,74.0,63.0,68.0,53.0,39.0,52.0,44.0,40.0,36.0,34.0,34.0,34.0,30.0,19.0,19.0,19.0
11020,,SO2,99th Percentile,1,62.0,68.0,51.0,62.0,61.0,72.0,48.0,56.0,55.0,51.0,36.0,32.0,28.0,29.0,30.0,31.0,13.0,7.0,8.0,8.0,4.0
